"","MacroPlot","Year","Trt_Status","Site","Plot","Treatment","yr_trt","yearly_rain","Total_Lupin","Year.numeric","Year_Time_since_trt","Total_Count"
"1","MBB1_Burn_Milagra","2009","before","Milagra","1","BURN","2009 _ BURN",29.08,11,2009,-2,108
"2","MBB1_Burn_Milagra","2010","before","Milagra","1","BURN","2010 _ BURN",42.65,16,2010,-1,194
"3","MBB1_Burn_Milagra","2011","after","Milagra","1","BURN","2011 _ BURN",50.91,11,2011,0,169
"4","MBB1_Burn_Milagra","2012","after","Milagra","1","BURN","2012 _ BURN",28.01,19,2012,1,159
"5","MBB1_Burn_Milagra","2013","after","Milagra","1","BURN","2013 _ BURN",26.13,28,2013,2,218
"6","MBB1_Control_Milagra","2009","before","Milagra","1","CONTROL","2009 _ CONTROL",29.08,4,2009,-2,141
"7","MBB1_Control_Milagra","2010","before","Milagra","1","CONTROL","2010 _ CONTROL",42.65,1,2010,-1,177
"8","MBB1_Control_Milagra","2011","after","Milagra","1","CONTROL","2011 _ CONTROL",50.91,4,2011,0,196
"9","MBB1_Control_Milagra","2012","after","Milagra","1","CONTROL","2012 _ CONTROL",28.01,4,2012,1,142
"10","MBB1_Control_Milagra","2013","after","Milagra","1","CONTROL","2013 _ CONTROL",26.13,6,2013,2,193
"11","MBB1_Mechanical_Milagra","2009","before","Milagra","1","MECHANICAL","2009 _ MECHANICAL",29.08,2,2009,-2,99
"12","MBB1_Mechanical_Milagra","2010","before","Milagra","1","MECHANICAL","2010 _ MECHANICAL",42.65,2,2010,-1,190
"13","MBB1_Mechanical_Milagra","2011","after","Milagra","1","MECHANICAL","2011 _ MECHANICAL",50.91,2,2011,0,168
"14","MBB1_Mechanical_Milagra","2012","after","Milagra","1","MECHANICAL","2012 _ MECHANICAL",28.01,3,2012,1,151
"15","MBB1_Mechanical_Milagra","2013","after","Milagra","1","MECHANICAL","2013 _ MECHANICAL",26.13,5,2013,2,187
"16","MBB10_Burn_Milagra","2010","before","Milagra","10","BURN","2010 _ BURN",42.65,1,2010,-1,213
"17","MBB10_Burn_Milagra","2011","after","Milagra","10","BURN","2011 _ BURN",50.91,2,2011,0,160
"18","MBB10_Burn_Milagra","2012","after","Milagra","10","BURN","2012 _ BURN",28.01,2,2012,1,137
"19","MBB10_Burn_Milagra","2013","after","Milagra","10","BURN","2013 _ BURN",26.13,3,2013,2,141
"20","MBB10_Control_Milagra","2010","before","Milagra","10","CONTROL","2010 _ CONTROL",42.65,3,2010,-1,186
"21","MBB10_Control_Milagra","2011","after","Milagra","10","CONTROL","2011 _ CONTROL",50.91,7,2011,0,150
"22","MBB10_Control_Milagra","2012","after","Milagra","10","CONTROL","2012 _ CONTROL",28.01,6,2012,1,122
"23","MBB10_Control_Milagra","2013","after","Milagra","10","CONTROL","2013 _ CONTROL",26.13,8,2013,2,132
"24","MBB10_Mechanical_Milagra","2010","before","Milagra","10","MECHANICAL","2010 _ MECHANICAL",42.65,3,2010,-1,136
"25","MBB10_Mechanical_Milagra","2011","after","Milagra","10","MECHANICAL","2011 _ MECHANICAL",50.91,2,2011,0,134
"26","MBB10_Mechanical_Milagra","2012","after","Milagra","10","MECHANICAL","2012 _ MECHANICAL",28.01,4,2012,1,103
"27","MBB10_Mechanical_Milagra","2013","after","Milagra","10","MECHANICAL","2013 _ MECHANICAL",26.13,4,2013,2,131
"28","MBB2_Burn_Milagra","2009","before","Milagra","2","BURN","2009 _ BURN",29.08,7,2009,-2,119
"29","MBB2_Burn_Milagra","2010","before","Milagra","2","BURN","2010 _ BURN",42.65,12,2010,-1,163
"30","MBB2_Burn_Milagra","2011","after","Milagra","2","BURN","2011 _ BURN",50.91,3,2011,0,150
"31","MBB2_Burn_Milagra","2012","after","Milagra","2","BURN","2012 _ BURN",28.01,7,2012,1,143
"32","MBB2_Burn_Milagra","2013","after","Milagra","2","BURN","2013 _ BURN",26.13,6,2013,2,172
"33","MBB2_Control_Milagra","2009","before","Milagra","2","CONTROL","2009 _ CONTROL",29.08,2,2009,-2,129
"34","MBB2_Control_Milagra","2010","before","Milagra","2","CONTROL","2010 _ CONTROL",42.65,5,2010,-1,162
"35","MBB2_Control_Milagra","2011","after","Milagra","2","CONTROL","2011 _ CONTROL",50.91,10,2011,0,176
"36","MBB2_Control_Milagra","2012","after","Milagra","2","CONTROL","2012 _ CONTROL",28.01,13,2012,1,144
"37","MBB2_Mechanical_Milagra","2009","before","Milagra","2","MECHANICAL","2009 _ MECHANICAL",29.08,10,2009,-2,112
"38","MBB2_Mechanical_Milagra","2010","before","Milagra","2","MECHANICAL","2010 _ MECHANICAL",42.65,12,2010,-1,166
"39","MBB2_Mechanical_Milagra","2011","after","Milagra","2","MECHANICAL","2011 _ MECHANICAL",50.91,1,2011,0,148
"40","MBB2_Mechanical_Milagra","2012","after","Milagra","2","MECHANICAL","2012 _ MECHANICAL",28.01,6,2012,1,159
"41","MBB2_Mechanical_Milagra","2013","after","Milagra","2","MECHANICAL","2013 _ MECHANICAL",26.13,13,2013,2,179
"42","MBB3_Burn_Milagra","2009","before","Milagra","3","BURN","2009 _ BURN",29.08,12,2009,-2,123
"43","MBB3_Burn_Milagra","2010","before","Milagra","3","BURN","2010 _ BURN",42.65,16,2010,-1,159
"44","MBB3_Burn_Milagra","2011","after","Milagra","3","BURN","2011 _ BURN",50.91,11,2011,0,173
"45","MBB3_Burn_Milagra","2012","after","Milagra","3","BURN","2012 _ BURN",28.01,11,2012,1,150
"46","MBB3_Burn_Milagra","2013","after","Milagra","3","BURN","2013 _ BURN",26.13,13,2013,2,179
"47","MBB3_Control_Milagra","2009","before","Milagra","3","CONTROL","2009 _ CONTROL",29.08,3,2009,-2,115
"48","MBB3_Control_Milagra","2010","before","Milagra","3","CONTROL","2010 _ CONTROL",42.65,4,2010,-1,157
"49","MBB3_Control_Milagra","2011","after","Milagra","3","CONTROL","2011 _ CONTROL",50.91,3,2011,0,166
"50","MBB3_Control_Milagra","2012","after","Milagra","3","CONTROL","2012 _ CONTROL",28.01,6,2012,1,123
"51","MBB3_Control_Milagra","2013","after","Milagra","3","CONTROL","2013 _ CONTROL",26.13,7,2013,2,136
"52","MBB3_Mechanical_Milagra","2009","before","Milagra","3","MECHANICAL","2009 _ MECHANICAL",29.08,9,2009,-2,145
"53","MBB3_Mechanical_Milagra","2010","before","Milagra","3","MECHANICAL","2010 _ MECHANICAL",42.65,12,2010,-1,174
"54","MBB3_Mechanical_Milagra","2011","after","Milagra","3","MECHANICAL","2011 _ MECHANICAL",50.91,2,2011,0,185
"55","MBB3_Mechanical_Milagra","2012","after","Milagra","3","MECHANICAL","2012 _ MECHANICAL",28.01,4,2012,1,139
"56","MBB3_Mechanical_Milagra","2013","after","Milagra","3","MECHANICAL","2013 _ MECHANICAL",26.13,6,2013,2,157
"57","MBB4_Burn_Milagra","2009","before","Milagra","4","BURN","2009 _ BURN",29.08,9,2009,-2,163
"58","MBB4_Control_Milagra","2009","before","Milagra","4","CONTROL","2009 _ CONTROL",29.08,1,2009,-2,125
"59","MBB4_Mechanical_Milagra","2009","before","Milagra","4","MECHANICAL","2009 _ MECHANICAL",29.08,2,2009,-2,122
"60","MBB5_Burn_Marin","2009","before","Marin","5","BURN","2009 _ BURN",29.08,2,2009,-2,104
"61","MBB5_Control_Marin","2009","before","Marin","5","CONTROL","2009 _ CONTROL",29.08,1,2009,-2,118
"62","MBB5_Mechanical_Marin","2009","before","Marin","5","MECHANICAL","2009 _ MECHANICAL",29.08,3,2009,-2,124
"63","MBB6_Burn_Marin","2009","before","Marin","6","BURN","2009 _ BURN",29.08,1,2009,-2,132
"64","MBB6_Burn_Marin","2010","before","Marin","6","BURN","2010 _ BURN",42.65,0,2010,-1,171
"65","MBB6_Burn_Marin","2011","after","Marin","6","BURN","2011 _ BURN",50.91,0,2011,0,186
"66","MBB6_Burn_Marin","2012","after","Marin","6","BURN","2012 _ BURN",28.01,0,2012,1,141
"67","MBB6_Burn_Marin","2013","after","Marin","6","BURN","2013 _ BURN",26.13,0,2013,2,195
"68","MBB6_Control_Marin","2009","before","Marin","6","CONTROL","2009 _ CONTROL",29.08,2,2009,-2,124
"69","MBB6_Control_Marin","2010","before","Marin","6","CONTROL","2010 _ CONTROL",42.65,3,2010,-1,179
"70","MBB6_Control_Marin","2011","after","Marin","6","CONTROL","2011 _ CONTROL",50.91,2,2011,0,185
"71","MBB6_Control_Marin","2012","after","Marin","6","CONTROL","2012 _ CONTROL",28.01,3,2012,1,128
"72","MBB6_Control_Marin","2013","after","Marin","6","CONTROL","2013 _ CONTROL",26.13,5,2013,2,155
"73","MBB6_Mechanical_Marin","2009","before","Marin","6","MECHANICAL","2009 _ MECHANICAL",29.08,2,2009,-2,107
"74","MBB6_Mechanical_Marin","2010","before","Marin","6","MECHANICAL","2010 _ MECHANICAL",42.65,4,2010,-1,210
"75","MBB6_Mechanical_Marin","2011","after","Marin","6","MECHANICAL","2011 _ MECHANICAL",50.91,3,2011,0,190
"76","MBB6_Mechanical_Marin","2012","after","Marin","6","MECHANICAL","2012 _ MECHANICAL",28.01,3,2012,1,114
"77","MBB6_Mechanical_Marin","2013","after","Marin","6","MECHANICAL","2013 _ MECHANICAL",26.13,1,2013,2,153
"78","MBB7_Burn_Marin","2009","before","Marin","7","BURN","2009 _ BURN",29.08,1,2009,-2,123
"79","MBB7_Burn_Marin","2010","before","Marin","7","BURN","2010 _ BURN",42.65,1,2010,-1,179
"80","MBB7_Burn_Marin","2011","after","Marin","7","BURN","2011 _ BURN",50.91,0,2011,0,227
"81","MBB7_Burn_Marin","2012","after","Marin","7","BURN","2012 _ BURN",28.01,0,2012,1,119
"82","MBB7_Burn_Marin","2013","after","Marin","7","BURN","2013 _ BURN",26.13,0,2013,2,143
"83","MBB7_Control_Marin","2009","before","Marin","7","CONTROL","2009 _ CONTROL",29.08,1,2009,-2,126
"84","MBB7_Control_Marin","2010","before","Marin","7","CONTROL","2010 _ CONTROL",42.65,2,2010,-1,258
"85","MBB7_Control_Marin","2011","after","Marin","7","CONTROL","2011 _ CONTROL",50.91,3,2011,0,268
"86","MBB7_Control_Marin","2012","after","Marin","7","CONTROL","2012 _ CONTROL",28.01,2,2012,1,171
"87","MBB7_Control_Marin","2013","after","Marin","7","CONTROL","2013 _ CONTROL",26.13,1,2013,2,136
"88","MBB7_Mechanical_Marin","2009","before","Marin","7","MECHANICAL","2009 _ MECHANICAL",29.08,7,2009,-2,112
"89","MBB7_Mechanical_Marin","2010","before","Marin","7","MECHANICAL","2010 _ MECHANICAL",42.65,8,2010,-1,263
"90","MBB7_Mechanical_Marin","2011","after","Marin","7","MECHANICAL","2011 _ MECHANICAL",50.91,0,2011,0,197
"91","MBB7_Mechanical_Marin","2012","after","Marin","7","MECHANICAL","2012 _ MECHANICAL",28.01,1,2012,1,108
"92","MBB7_Mechanical_Marin","2013","after","Marin","7","MECHANICAL","2013 _ MECHANICAL",26.13,3,2013,2,158
"93","MBB8_Burn_Marin","2009","before","Marin","8","BURN","2009 _ BURN",29.08,2,2009,-2,104
"94","MBB8_Burn_Marin","2010","before","Marin","8","BURN","2010 _ BURN",42.65,1,2010,-1,280
"95","MBB8_Burn_Marin","2011","after","Marin","8","BURN","2011 _ BURN",50.91,0,2011,0,197
"96","MBB8_Burn_Marin","2012","after","Marin","8","BURN","2012 _ BURN",28.01,2,2012,1,139
"97","MBB8_Burn_Marin","2013","after","Marin","8","BURN","2013 _ BURN",26.13,2,2013,2,160
"98","MBB8_Control_Marin","2009","before","Marin","8","CONTROL","2009 _ CONTROL",29.08,1,2009,-2,143
"99","MBB8_Control_Marin","2010","before","Marin","8","CONTROL","2010 _ CONTROL",42.65,1,2010,-1,238
"100","MBB8_Control_Marin","2011","after","Marin","8","CONTROL","2011 _ CONTROL",50.91,0,2011,0,262
"101","MBB8_Control_Marin","2012","after","Marin","8","CONTROL","2012 _ CONTROL",28.01,0,2012,1,174
"102","MBB8_Control_Marin","2013","after","Marin","8","CONTROL","2013 _ CONTROL",26.13,0,2013,2,276
"103","MBB8_Mechanical_Marin","2009","before","Marin","8","MECHANICAL","2009 _ MECHANICAL",29.08,3,2009,-2,139
"104","MBB8_Mechanical_Marin","2010","before","Marin","8","MECHANICAL","2010 _ MECHANICAL",42.65,3,2010,-1,281
"105","MBB8_Mechanical_Marin","2011","after","Marin","8","MECHANICAL","2011 _ MECHANICAL",50.91,0,2011,0,281
"106","MBB8_Mechanical_Marin","2012","after","Marin","8","MECHANICAL","2012 _ MECHANICAL",28.01,1,2012,1,145
"107","MBB8_Mechanical_Marin","2013","after","Marin","8","MECHANICAL","2013 _ MECHANICAL",26.13,0,2013,2,250
"108","MBB9_Burn_Marin","2009","before","Marin","9","BURN","2009 _ BURN",29.08,9,2009,-2,152
"109","MBB9_Burn_Marin","2010","before","Marin","9","BURN","2010 _ BURN",42.65,6,2010,-1,242
"110","MBB9_Burn_Marin","2011","after","Marin","9","BURN","2011 _ BURN",50.91,3,2011,0,243
"111","MBB9_Burn_Marin","2012","after","Marin","9","BURN","2012 _ BURN",28.01,5,2012,1,225
"112","MBB9_Burn_Marin","2013","after","Marin","9","BURN","2013 _ BURN",26.13,6,2013,2,254
"113","MBB9_Control_Marin","2009","before","Marin","9","CONTROL","2009 _ CONTROL",29.08,4,2009,-2,151
"114","MBB9_Control_Marin","2010","before","Marin","9","CONTROL","2010 _ CONTROL",42.65,6,2010,-1,212
"115","MBB9_Control_Marin","2011","after","Marin","9","CONTROL","2011 _ CONTROL",50.91,9,2011,0,223
"116","MBB9_Control_Marin","2012","after","Marin","9","CONTROL","2012 _ CONTROL",28.01,9,2012,1,195
"117","MBB9_Control_Marin","2013","after","Marin","9","CONTROL","2013 _ CONTROL",26.13,5,2013,2,179
"118","MBB9_Mechanical_Marin","2009","before","Marin","9","MECHANICAL","2009 _ MECHANICAL",29.08,0,2009,-2,164
"119","MBB9_Mechanical_Marin","2010","before","Marin","9","MECHANICAL","2010 _ MECHANICAL",42.65,0,2010,-1,211
"120","MBB9_Mechanical_Marin","2011","after","Marin","9","MECHANICAL","2011 _ MECHANICAL",50.91,0,2011,0,236
"121","MBB9_Mechanical_Marin","2012","after","Marin","9","MECHANICAL","2012 _ MECHANICAL",28.01,0,2012,1,194
"122","MBB9_Mechanical_Marin","2013","after","Marin","9","MECHANICAL","2013 _ MECHANICAL",26.13,0,2013,2,248
